"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","50294","R02-C01 cargar archivo de calculos","calculos","2026-04-08","passed","2026-04-08","Cargar archivo de calculos","cotizacion\calculos_carga.feature.spec.js","",""
"","1","R65-C01 creacion de un siniestro","siniestros","2026-04-08","skipped","2026-04-08","Gestion de siniestros","siniestros\pagos_de_siniestros.feature.spec.js","",""
"","22464","R32-C01 listar parametro nota tecnica","reservas","2026-04-08","failed","2026-04-08","R32 Notas Tecnicas","reservas\notas_tecnicas.feature.spec.js","",""
"","18300","R05-C02 carga masiva de contratacion y consulta de resultados","contratacion","2026-04-08","passed","2026-04-08","R05 Carga masiva de contratacion","cotizacion\contratacion_masiva.feature.spec.js","",""
"","11362","R32-C02 crear vigencia para la nota tecnica","reservas","2026-04-08","passed","2026-04-08","R32 Notas Tecnicas","reservas\notas_tecnicas.feature.spec.js","",""
"","138712","R30-C04 eliminar vigencias de los parametros","reservas","2026-04-08","passed","2026-04-08","R30 Tablas de mortalidad","reservas\tablas_de_mortalidad.feature.spec.js","",""
"","123586","R05-C01 carga masiva de cotizacion y consulta de resultados","cotizacion-masiva","2026-04-08","passed","2026-04-08","R05 Carga masiva de cotizacion","cotizacion\carga_masiva.feature.spec.js","",""
"","78888","R06-C01 emitir polizas a partir de cotizaciones generadas","emision","2026-04-08","passed","2026-04-08","Emision de polizas","emision\emitir_polizas.feature.spec.js","",""
"","189041","R03-C02 creacion manual de cotizacion desde archivo","cotizacion-manual","2026-04-08","passed","2026-04-08","R03 Creacion manual de cotizacion","cotizacion\carga_manual.feature.spec.js","",""
"","145838","R30-C02 crear vigencias y cargar archivo","reservas","2026-04-08","passed","2026-04-08","R30 Tablas de mortalidad","reservas\tablas_de_mortalidad.feature.spec.js","",""
"","0","R79-C01 visualizacion de opciones esperadas al iniciar registro de novedad","gestion","2026-04-08","skipped","2026-04-08","R79 Reversion de polizas","gestion\reversar_polizas.feature.spec.js","",""
"","15747","R01-C03 comparacion de resultados de cotizacion masiva con archivo de referencia","validacion-cotizaciones","2026-04-08","passed","2026-04-08","Validacion de resultado cotizacion masiva","cotizacion\validar_masiva.feature.spec.js","",""
"","22479","R30-C03 verificar archivos cargados","reservas","2026-04-08","failed","2026-04-08","R30 Tablas de mortalidad","reservas\tablas_de_mortalidad.feature.spec.js","",""
"","21799","R32-C03 verificar archivos cargados de nota tecnica","reservas","2026-04-08","failed","2026-04-08","R32 Notas Tecnicas","reservas\notas_tecnicas.feature.spec.js","",""
"","21637","R30-C01 tablas de mortalidad","reservas","2026-04-08","failed","2026-04-08","R30 Tablas de mortalidad","reservas\tablas_de_mortalidad.feature.spec.js","",""
"","35876","R32-C04 eliminar vigencias de los parametros","reservas","2026-04-08","passed","2026-04-08","R32 Notas Tecnicas","reservas\notas_tecnicas.feature.spec.js","",""
