"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","95855","R30 C25-C29 Eliminar las vigencias de los parametros","","Fri Nov 28 02:40:50 UTC 2025","passed","Fri Nov 28 02:42:25 UTC 2025","","","",""
"","19970","R05 Carga exitosa del archivo masivo y descarga de resultados","","Fri Nov 28 02:36:13 UTC 2025","passed","Fri Nov 28 02:36:33 UTC 2025","","","",""
"","21669","R30 C01,C42 Listado de parametros de producto de renta vitalicia, reserva matematica","","Fri Nov 28 02:36:33 UTC 2025","passed","Fri Nov 28 02:36:55 UTC 2025","","","",""
"","22713","R01- C01 Carga exitosa del archivo masivo y descarga de resultados","","Fri Nov 28 02:33:37 UTC 2025","passed","Fri Nov 28 02:34:00 UTC 2025","","","",""
"","52626","R03- C01 creacion manual de cotizacion","","Fri Nov 28 02:35:20 UTC 2025","passed","Fri Nov 28 02:36:13 UTC 2025","","","",""
"","9365","Creacion de un siniestro","","Fri Nov 28 02:42:25 UTC 2025","passed","Fri Nov 28 02:42:35 UTC 2025","","","",""
"","13892","Comparacion de resultados de cotización masiva con archivo de referencia","","Fri Nov 28 02:42:35 UTC 2025","passed","Fri Nov 28 02:42:49 UTC 2025","","","",""
"","80319","R01 C02 creacion manual de cotizacion","","Fri Nov 28 02:34:00 UTC 2025","broken","Fri Nov 28 02:35:20 UTC 2025","","","",""
"","234897","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","Fri Nov 28 02:36:55 UTC 2025","passed","Fri Nov 28 02:40:50 UTC 2025","","","",""
