"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53672","R32 C02-C13,C45 Verificar los arhivos cargados","","2026-03-18","passed","2026-03-18","","","",""
"","38155","R32 C25-C29 Eliminar las vigencias de los parametros","","2026-03-18","passed","2026-03-18","","","",""
"","284961","R05 Carga exitosa del archivo masivo y descarga de resultados","","2026-03-18","passed","2026-03-18","","","",""
"","305007","R05 Carga exitosa del archivo masivo y descarga de resultados","","2026-03-18","passed","2026-03-18","","","",""
"","632642","R03- C01 creacion manual de cotizacion","","2026-03-18","broken","2026-03-18","","","",""
"","95598","R30 C25-C29 Eliminar las vigencias de los parametros","","2026-03-18","passed","2026-03-18","","","",""
"","286933","Cargar archivo de calculos","","2026-03-18","passed","2026-03-18","","","",""
"","31332","R32 Listar parametro nota tecnica","","2026-03-18","passed","2026-03-18","","","",""
"","45929","R32 C02-C13,C45 Crear vigencia para la nota tecnica","","2026-03-18","passed","2026-03-18","","","",""
"","151129","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","2026-03-18","passed","2026-03-18","","","",""
"","80225","R30 C02-C13,C45 Verificar los arhivos cargados","","2026-03-18","broken","2026-03-18","","","",""
"","71322","R30 C01,C42 Tablas de mortalidad","","2026-03-18","passed","2026-03-18","","","",""
