"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5345","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","chromium","2026-03-08","passed","2026-03-08","R30 Tablas de mortalidad","features\reservas\r30_tablas_de_mortalidad.feature.spec.js","",""
"","4345","R32 Listar parametro nota tecnica","chromium","2026-03-08","passed","2026-03-08","R32 Notas Técnicas","features\reservas\r32_notas_tecnicas.feature.spec.js","",""
"","4023","R01 C02 creacion manual de cotizacion","chromium","2026-03-08","passed","2026-03-08","R01- Creacion manual de cotizacion","features\cotizacion\creacion_cotizacion_manual.feature.spec.js","",""
"","4355","R32 C25-C29 Eliminar las vigencias de los parametros","chromium","2026-03-08","passed","2026-03-08","R32 Notas Técnicas","features\reservas\r32_notas_tecnicas.feature.spec.js","",""
"","4934","R03- C01 creacion manual de cotizacion","chromium","2026-03-08","passed","2026-03-08","R03 Creacion manual de cotizacion","features\cotizacion\crear_cotizacion_manual.feature.spec.js","",""
"","7810","R01- C01 Carga exitosa del archivo masivo y descarga de resultados","chromium","2026-03-08","passed","2026-03-08","R01 Carga masiva de cotización","features\cotizacion\cotizacion_masiva.feature.spec.js","",""
"","4635","Comparacion de resultados de cotización masiva con archivo de referencia","chromium","2026-03-08","failed","2026-03-08","Validacion de resultado cotizacion masiva","features\cotizacion\validar_cotizacion_masiva.feature.spec.js","",""
"","5122","R30 C01,C42 Tablas de mortalidad","chromium","2026-03-08","passed","2026-03-08","R30 Tablas de mortalidad","features\reservas\r30_tablas_de_mortalidad.feature.spec.js","",""
"","5374","Creacion de un siniestro","chromium","2026-03-08","passed","2026-03-08","Gestion de siniestros","features\siniestros\r65_pagos_de_siniestros.feature.spec.js","",""
"","5012","R32 C02-C13,C45 Crear vigencia para la nota tecnica","chromium","2026-03-08","passed","2026-03-08","R32 Notas Técnicas","features\reservas\r32_notas_tecnicas.feature.spec.js","",""
"","4860","R30 C02-C13,C45 Verificar los arhivos cargados","chromium","2026-03-08","passed","2026-03-08","R30 Tablas de mortalidad","features\reservas\r30_tablas_de_mortalidad.feature.spec.js","",""
"","4413","R32 C02-C13,C45 Verificar los arhivos cargados","chromium","2026-03-08","passed","2026-03-08","R32 Notas Técnicas","features\reservas\r32_notas_tecnicas.feature.spec.js","",""
"","4697","R05 Carga exitosa del archivo masivo y descarga de resultados","chromium","2026-03-08","passed","2026-03-08","R05 Carga masiva de cotización","features\cotizacion\crear_cotizacion_masiva.feature.spec.js","",""
"","5171","R30 C25-C29 Eliminar las vigencias de los parametros","chromium","2026-03-08","passed","2026-03-08","R30 Tablas de mortalidad","features\reservas\r30_tablas_de_mortalidad.feature.spec.js","",""
