"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","89042","R05-C01 carga masiva de cotizacion y consulta de resultados","cotizacion-masiva","2026-04-07","passed","2026-04-07","R05 Carga masiva de cotizacion","test-cases\features\cotizacion\carga_masiva.feature.spec.js","",""
"","0","R30-C03 verificar archivos cargados","reservas","2026-04-07","skipped","2026-04-07","R30 Tablas de mortalidad","test-cases\features\reservas\tablas_de_mortalidad.feature.spec.js","",""
"","1","R32-C02 crear vigencia para la nota tecnica","reservas","2026-04-07","skipped","2026-04-07","R32 Notas Tecnicas","test-cases\features\reservas\notas_tecnicas.feature.spec.js","",""
"","1","R32-C04 eliminar vigencias de los parametros","reservas","2026-04-07","skipped","2026-04-07","R32 Notas Tecnicas","test-cases\features\reservas\notas_tecnicas.feature.spec.js","",""
"","0","R30-C02 crear vigencias y cargar archivo","reservas","2026-04-07","skipped","2026-04-07","R30 Tablas de mortalidad","test-cases\features\reservas\tablas_de_mortalidad.feature.spec.js","",""
"","0","R30-C04 eliminar vigencias de los parametros","reservas","2026-04-07","skipped","2026-04-07","R30 Tablas de mortalidad","test-cases\features\reservas\tablas_de_mortalidad.feature.spec.js","",""
"","0","R06-C01 emitir polizas a partir de cotizaciones generadas","emision","2026-04-07","skipped","2026-04-07","Emision de polizas","test-cases\features\emision\emitir_polizas.feature.spec.js","",""
"","1","R32-C03 verificar archivos cargados de nota tecnica","reservas","2026-04-07","skipped","2026-04-07","R32 Notas Tecnicas","test-cases\features\reservas\notas_tecnicas.feature.spec.js","",""
"","0","R30-C01 tablas de mortalidad","reservas","2026-04-07","skipped","2026-04-07","R30 Tablas de mortalidad","test-cases\features\reservas\tablas_de_mortalidad.feature.spec.js","",""
"","0","R02-C01 cargar archivo de calculos","calculos","2026-04-07","skipped","2026-04-07","Cargar archivo de calculos","test-cases\features\cotizacion\calculos_carga.feature.spec.js","",""
"","0","R79-C01 visualizacion de opciones esperadas al iniciar registro de novedad","gestion","2026-04-07","skipped","2026-04-07","R79 Reversion de polizas","test-cases\features\gestion\reversar_polizas.feature.spec.js","",""
"","0","R65-C01 creacion de un siniestro","siniestros","2026-04-07","skipped","2026-04-07","Gestion de siniestros","test-cases\features\siniestros\pagos_de_siniestros.feature.spec.js","",""
"","0","R01-C03 comparacion de resultados de cotizacion masiva con archivo de referencia","validacion-cotizaciones","2026-04-07","skipped","2026-04-07","Validacion de resultado cotizacion masiva","test-cases\features\cotizacion\validar_masiva.feature.spec.js","",""
"","333092","R03-C02 creacion manual de cotizacion desde archivo","cotizacion-manual","2026-04-07","broken","2026-04-07","R03 Creacion manual de cotizacion","test-cases\features\cotizacion\carga_manual.feature.spec.js","",""
"","1","R32-C01 listar parametro nota tecnica","reservas","2026-04-07","skipped","2026-04-07","R32 Notas Tecnicas","test-cases\features\reservas\notas_tecnicas.feature.spec.js","",""
"","0","R05-C02 carga masiva de contratacion y consulta de resultados","contratacion","2026-04-07","skipped","2026-04-07","R05 Carga masiva de contratacion","test-cases\features\cotizacion\contratacion_masiva.feature.spec.js","",""
