"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21621","R30 C01,C42 Listado de parametros de producto de renta vitalicia, reserva matematica","","Sun Nov 23 01:10:39 UTC 2025","passed","Sun Nov 23 01:11:01 UTC 2025","","","",""
"","14772","R03- C01 creacion manual de cotizacion","","Sun Nov 23 01:10:09 UTC 2025","passed","Sun Nov 23 01:10:24 UTC 2025","","","",""
"","23946","R01 C02 creacion manual de cotizacion","","Sun Nov 23 01:09:45 UTC 2025","passed","Sun Nov 23 01:10:09 UTC 2025","","","",""
"","21025","Comparacion de resultados de cotización masiva con archivo de referencia","","Sun Nov 23 01:16:48 UTC 2025","passed","Sun Nov 23 01:17:09 UTC 2025","","","",""
"","92976","R30 C25-C29 Eliminar las vigencias de los parametros","","Sun Nov 23 01:15:02 UTC 2025","passed","Sun Nov 23 01:16:34 UTC 2025","","","",""
"","29453","R01- C01 Carga exitosa del archivo masivo y descarga de resultados","","Sun Nov 23 01:09:16 UTC 2025","passed","Sun Nov 23 01:09:45 UTC 2025","","","",""
"","15406","Carga exitosa del archivo masivo y descarga de resultados","","Sun Nov 23 01:10:24 UTC 2025","broken","Sun Nov 23 01:10:39 UTC 2025","","","",""
"","13060","Creacion de un siniestro","","Sun Nov 23 01:16:34 UTC 2025","passed","Sun Nov 23 01:16:48 UTC 2025","","","",""
"","240497","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","Sun Nov 23 01:11:01 UTC 2025","passed","Sun Nov 23 01:15:02 UTC 2025","","","",""
