"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10900","Creacion de un siniestro","","Tue Nov 25 03:38:47 UTC 2025","passed","Tue Nov 25 03:38:58 UTC 2025","","","",""
"","319378","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","Tue Nov 25 03:31:50 UTC 2025","passed","Tue Nov 25 03:37:09 UTC 2025","","","",""
"","70423","R01- C01 Carga exitosa del archivo masivo y descarga de resultados","","Tue Nov 25 03:29:12 UTC 2025","broken","Tue Nov 25 03:30:23 UTC 2025","","","",""
"","18278","R01 C02 creacion manual de cotizacion","","Tue Nov 25 03:30:23 UTC 2025","broken","Tue Nov 25 03:30:41 UTC 2025","","","",""
"","14662","R03- C01 creacion manual de cotizacion","","Tue Nov 25 03:30:41 UTC 2025","broken","Tue Nov 25 03:30:56 UTC 2025","","","",""
"","22043","R30 C01,C42 Listado de parametros de producto de renta vitalicia, reserva matematica","","Tue Nov 25 03:31:28 UTC 2025","passed","Tue Nov 25 03:31:50 UTC 2025","","","",""
"","33259","Comparacion de resultados de cotización masiva con archivo de referencia","","Tue Nov 25 03:38:58 UTC 2025","broken","Tue Nov 25 03:39:31 UTC 2025","","","",""
"","32144","Carga exitosa del archivo masivo y descarga de resultados","","Tue Nov 25 03:30:56 UTC 2025","broken","Tue Nov 25 03:31:28 UTC 2025","","","",""
"","97837","R30 C25-C29 Eliminar las vigencias de los parametros","","Tue Nov 25 03:37:09 UTC 2025","passed","Tue Nov 25 03:38:47 UTC 2025","","","",""
