"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28268","Carga exitosa del archivo masivo y descarga de resultados","","Fri Nov 14 04:00:44 UTC 2025","passed","Fri Nov 14 04:01:12 UTC 2025","","","",""
"","19262","Comparacion de resultados de cotización masiva con archivo de referencia","","Fri Nov 14 04:02:02 UTC 2025","passed","Fri Nov 14 04:02:21 UTC 2025","","","",""
"","14549","creacion manual de cotizacion","","Fri Nov 14 04:01:12 UTC 2025","passed","Fri Nov 14 04:01:27 UTC 2025","","","",""
"","21912","Crear y eliminar vigencias para una lista de parámetros","","Fri Nov 14 04:01:27 UTC 2025","passed","Fri Nov 14 04:01:48 UTC 2025","","","",""
"","13238","Creacion de un siniestro","","Fri Nov 14 04:01:48 UTC 2025","passed","Fri Nov 14 04:02:02 UTC 2025","","","",""
