"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17531","R30 C01,C42 Listado de parametros de producto de renta vitalicia, reserva matematica","","Fri Nov 28 02:31:59 UTC 2025","passed","Fri Nov 28 02:32:16 UTC 2025","","","",""
"","56534","R03- C01 creacion manual de cotizacion","","Fri Nov 28 02:30:40 UTC 2025","broken","Fri Nov 28 02:31:37 UTC 2025","","","",""
"","9218","Creacion de un siniestro","","Fri Nov 28 02:37:41 UTC 2025","passed","Fri Nov 28 02:37:51 UTC 2025","","","",""
"","93182","R30 C25-C29 Eliminar las vigencias de los parametros","","Fri Nov 28 02:36:08 UTC 2025","passed","Fri Nov 28 02:37:41 UTC 2025","","","",""
"","13669","Comparacion de resultados de cotización masiva con archivo de referencia","","Fri Nov 28 02:37:51 UTC 2025","passed","Fri Nov 28 02:38:04 UTC 2025","","","",""
"","41475","R01- C01 Carga exitosa del archivo masivo y descarga de resultados","","Fri Nov 28 02:28:52 UTC 2025","passed","Fri Nov 28 02:29:33 UTC 2025","","","",""
"","67202","R01 C02 creacion manual de cotizacion","","Fri Nov 28 02:29:33 UTC 2025","passed","Fri Nov 28 02:30:40 UTC 2025","","","",""
"","21896","R05 Carga exitosa del archivo masivo y descarga de resultados","","Fri Nov 28 02:31:37 UTC 2025","passed","Fri Nov 28 02:31:59 UTC 2025","","","",""
"","232023","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","Fri Nov 28 02:32:16 UTC 2025","passed","Fri Nov 28 02:36:08 UTC 2025","","","",""
