"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13461","Comparacion de resultados de cotización masiva con archivo de referencia","","Fri Nov 28 02:13:40 UTC 2025","passed","Fri Nov 28 02:13:53 UTC 2025","","","",""
"","21846","R30 C01,C42 Listado de parametros de producto de renta vitalicia, reserva matematica","","Fri Nov 28 02:10:28 UTC 2025","broken","Fri Nov 28 02:10:50 UTC 2025","","","",""
"","71683","R01 C02 creacion manual de cotizacion","","Fri Nov 28 02:07:54 UTC 2025","passed","Fri Nov 28 02:09:05 UTC 2025","","","",""
"","139244","R30 C25-C29 Eliminar las vigencias de los parametros","","Fri Nov 28 02:11:12 UTC 2025","passed","Fri Nov 28 02:13:31 UTC 2025","","","",""
"","8967","Creacion de un siniestro","","Fri Nov 28 02:13:31 UTC 2025","passed","Fri Nov 28 02:13:40 UTC 2025","","","",""
"","50637","R01- C01 Carga exitosa del archivo masivo y descarga de resultados","","Fri Nov 28 02:07:03 UTC 2025","passed","Fri Nov 28 02:07:54 UTC 2025","","","",""
"","68480","R03- C01 creacion manual de cotizacion","","Fri Nov 28 02:09:05 UTC 2025","passed","Fri Nov 28 02:10:14 UTC 2025","","","",""
"","21892","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","Fri Nov 28 02:10:50 UTC 2025","broken","Fri Nov 28 02:11:12 UTC 2025","","","",""
"","13938","R05 Carga exitosa del archivo masivo y descarga de resultados","","Fri Nov 28 02:10:14 UTC 2025","passed","Fri Nov 28 02:10:28 UTC 2025","","","",""
