"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","226802","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","Sat Nov 22 22:18:39 UTC 2025","passed","Sat Nov 22 22:22:26 UTC 2025","","","",""
"","22663","Creacion de un siniestro","","Sat Nov 22 22:24:00 UTC 2025","passed","Sat Nov 22 22:24:22 UTC 2025","","","",""
"","21001","R30 C01,C42 Listado de parametros de producto de renta vitalicia, reserva matematica","","Sat Nov 22 22:18:18 UTC 2025","passed","Sat Nov 22 22:18:39 UTC 2025","","","",""
"","93459","R30 C25-C29 Eliminar las vigencias de los parametros","","Sat Nov 22 22:22:26 UTC 2025","passed","Sat Nov 22 22:24:00 UTC 2025","","","",""
"","13321","R01 C02 creacion manual de cotizacion","","Sat Nov 22 22:17:36 UTC 2025","passed","Sat Nov 22 22:17:49 UTC 2025","","","",""
"","15711","Carga exitosa del archivo masivo y descarga de resultados","","Sat Nov 22 22:18:03 UTC 2025","broken","Sat Nov 22 22:18:18 UTC 2025","","","",""
"","23983","R01- C01 Carga exitosa del archivo masivo y descarga de resultados","","Sat Nov 22 22:17:12 UTC 2025","broken","Sat Nov 22 22:17:36 UTC 2025","","","",""
"","13655","R03- C01 creacion manual de cotizacion","","Sat Nov 22 22:17:49 UTC 2025","passed","Sat Nov 22 22:18:03 UTC 2025","","","",""
"","27923","Comparacion de resultados de cotización masiva con archivo de referencia","","Sat Nov 22 22:24:22 UTC 2025","broken","Sat Nov 22 22:24:50 UTC 2025","","","",""
