"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18988","Comparacion de resultados de cotización masiva con archivo de referencia","","Sun Nov 23 01:19:41 UTC 2025","broken","Sun Nov 23 01:20:00 UTC 2025","","","",""
"","14548","Creacion de un siniestro","","Sun Nov 23 01:19:26 UTC 2025","passed","Sun Nov 23 01:19:41 UTC 2025","","","",""
"","21206","R30 C01,C42 Listado de parametros de producto de renta vitalicia, reserva matematica","","Sun Nov 23 01:13:42 UTC 2025","passed","Sun Nov 23 01:14:03 UTC 2025","","","",""
"","24527","R01- C01 Carga exitosa del archivo masivo y descarga de resultados","","Sun Nov 23 01:12:25 UTC 2025","broken","Sun Nov 23 01:12:49 UTC 2025","","","",""
"","130291","R30 C25-C29 Eliminar las vigencias de los parametros","","Sun Nov 23 01:17:16 UTC 2025","passed","Sun Nov 23 01:19:26 UTC 2025","","","",""
"","192521","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","Sun Nov 23 01:14:03 UTC 2025","broken","Sun Nov 23 01:17:16 UTC 2025","","","",""
"","13926","R01 C02 creacion manual de cotizacion","","Sun Nov 23 01:12:49 UTC 2025","passed","Sun Nov 23 01:13:03 UTC 2025","","","",""
"","15893","R03- C01 creacion manual de cotizacion","","Sun Nov 23 01:13:03 UTC 2025","passed","Sun Nov 23 01:13:19 UTC 2025","","","",""
"","23020","Carga exitosa del archivo masivo y descarga de resultados","","Sun Nov 23 01:13:19 UTC 2025","passed","Sun Nov 23 01:13:42 UTC 2025","","","",""
