"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","66046","R32 Listar parametro nota tecnica","","2026-04-08","passed","2026-04-08","","","",""
"","128478","R30 C25-C29 Eliminar las vigencias de los parametros","","2026-04-08","passed","2026-04-08","","","",""
"","47434","R32 C02-C13,C45 Verificar los arhivos cargados","","2026-04-08","passed","2026-04-08","","","",""
"","142584","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","2026-04-08","passed","2026-04-08","","","",""
"","40065","R32 C25-C29 Eliminar las vigencias de los parametros","","2026-04-08","passed","2026-04-08","","","",""
"","49725","R05 Carga exitosa del archivo masivo y descarga de resultados","","2026-04-08","failed","2026-04-08","","","",""
"","50592","Cargar archivo de calculos","","2026-04-08","failed","2026-04-08","","","",""
"","119624","R30 C02-C13,C45 Verificar los arhivos cargados","","2026-04-08","passed","2026-04-08","","","",""
"","32650","R30 C01,C42 Tablas de mortalidad","","2026-04-08","passed","2026-04-08","","","",""
"","52594","R32 C02-C13,C45 Crear vigencia para la nota tecnica","","2026-04-08","passed","2026-04-08","","","",""
