"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48135","R32 C02-C13,C45 Verificar los arhivos cargados","","2026-02-20","broken","2026-02-20","","","",""
"","24240","R30 C01,C42 Tablas de mortalidad","","2026-02-20","passed","2026-02-20","","","",""
"","14419","R01- C01 Carga exitosa del archivo masivo y descarga de resultados","","2026-02-20","passed","2026-02-20","","","",""
"","12801","Comparacion de resultados de cotización masiva con archivo de referencia","","2026-02-20","failed","2026-02-20","","","",""
"","46773","R32 Listar parametro nota tecnica","","2026-02-20","broken","2026-02-20","","","",""
"","47507","R32 C02-C13,C45 Crear vigencia para la nota tecnica","","2026-02-20","broken","2026-02-20","","","",""
"","18954","Creacion de un siniestro","","2026-02-20","passed","2026-02-20","","","",""
"","32840","R03- C01 creacion manual de cotizacion","","2026-02-20","broken","2026-02-20","","","",""
"","13125","R05 Carga exitosa del archivo masivo y descarga de resultados","","2026-02-20","passed","2026-02-20","","","",""
"","132658","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","2026-02-20","passed","2026-02-20","","","",""
"","32347","R01 C02 creacion manual de cotizacion","","2026-02-20","broken","2026-02-20","","","",""
"","100858","R30 C02-C13,C45 Verificar los arhivos cargados","","2026-02-20","passed","2026-02-20","","","",""
"","44767","R32 C25-C29 Eliminar las vigencias de los parametros","","2026-02-20","broken","2026-02-20","","","",""
"","124445","R30 C25-C29 Eliminar las vigencias de los parametros","","2026-02-20","passed","2026-02-20","","","",""
