"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","115000","R30 C25-C29 Eliminar las vigencias de los parametros","","Sun Nov 23 15:38:16 UTC 2025","passed","Sun Nov 23 15:40:11 UTC 2025","","","",""
"","43040","Carga exitosa del archivo masivo y descarga de resultados","","Sun Nov 23 15:32:17 UTC 2025","broken","Sun Nov 23 15:33:00 UTC 2025","","","",""
"","24501","Comparacion de resultados de cotización masiva con archivo de referencia","","Sun Nov 23 15:40:27 UTC 2025","broken","Sun Nov 23 15:40:52 UTC 2025","","","",""
"","24153","R03- C01 creacion manual de cotizacion","","Sun Nov 23 15:31:53 UTC 2025","passed","Sun Nov 23 15:32:17 UTC 2025","","","",""
"","15908","Creacion de un siniestro","","Sun Nov 23 15:40:11 UTC 2025","passed","Sun Nov 23 15:40:27 UTC 2025","","","",""
"","19433","R01 C02 creacion manual de cotizacion","","Sun Nov 23 15:31:33 UTC 2025","passed","Sun Nov 23 15:31:53 UTC 2025","","","",""
"","292531","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","Sun Nov 23 15:33:24 UTC 2025","passed","Sun Nov 23 15:38:16 UTC 2025","","","",""
"","48478","R01- C01 Carga exitosa del archivo masivo y descarga de resultados","","Sun Nov 23 15:30:45 UTC 2025","passed","Sun Nov 23 15:31:33 UTC 2025","","","",""
"","23817","R30 C01,C42 Listado de parametros de producto de renta vitalicia, reserva matematica","","Sun Nov 23 15:33:00 UTC 2025","passed","Sun Nov 23 15:33:24 UTC 2025","","","",""
