"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19169","R30 C01,C42 Listado de parametros de producto de renta vitalicia, reserva matematica","","Sat Nov 22 18:59:44 UTC 2025","passed","Sat Nov 22 19:00:03 UTC 2025","","","",""
"","19871","Carga exitosa del archivo masivo y descarga de resultados","","Sat Nov 22 18:59:24 UTC 2025","passed","Sat Nov 22 18:59:44 UTC 2025","","","",""
"","79524","R30 C25-C29 Eliminar las vigencias de los parametros","","Sat Nov 22 19:03:30 UTC 2025","passed","Sat Nov 22 19:04:50 UTC 2025","","","",""
"","19964","Comparacion de resultados de cotización masiva con archivo de referencia","","Sat Nov 22 19:05:04 UTC 2025","broken","Sat Nov 22 19:05:24 UTC 2025","","","",""
"","207491","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","Sat Nov 22 19:00:03 UTC 2025","passed","Sat Nov 22 19:03:30 UTC 2025","","","",""
"","14059","Creacion de un siniestro","","Sat Nov 22 19:04:50 UTC 2025","passed","Sat Nov 22 19:05:04 UTC 2025","","","",""
"","16162","creacion manual de cotizacion","","Sat Nov 22 18:59:08 UTC 2025","passed","Sat Nov 22 18:59:24 UTC 2025","","","",""
