"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15725","R01-C03 comparacion de resultados de cotizacion masiva con archivo de referencia","cotizacion","2026-03-27","passed","2026-03-27","Validacion de resultado cotizacion masiva","features\cotizacion\validar_cotizacion_masiva.feature.spec.js","",""
"","9985","R30-C02 crear vigencias y cargar archivo","reservas","2026-03-27","passed","2026-03-27","R30 Tablas de mortalidad","features\reservas\tablas_de_mortalidad.feature.spec.js","",""
"","10310","R32-C02 crear vigencia para la nota tecnica","reservas","2026-03-27","passed","2026-03-27","R32 Notas Tecnicas","features\reservas\notas_tecnicas.feature.spec.js","",""
"","39506","R05-C01 carga masiva de cotizacion y consulta de resultados","cotizacion","2026-03-27","passed","2026-03-27","R05 Carga masiva de cotizacion","features\cotizacion\crear_cotizacion_masiva.feature.spec.js","",""
"","9592","R32-C04 eliminar vigencias de los parametros","reservas","2026-03-27","passed","2026-03-27","R32 Notas Tecnicas","features\reservas\notas_tecnicas.feature.spec.js","",""
"","46324","R06-C01 emitir polizas a partir de cotizaciones generadas","emision","2026-03-27","passed","2026-03-27","Emision de polizas","features\emision\emitir_polizas.feature.spec.js","",""
"","62413","R03-C01 creacion manual de cotizacion","cotizacion","2026-03-27","passed","2026-03-27","R03 Creacion manual de cotizacion","features\cotizacion\crear_cotizacion_manual.feature.spec.js","",""
"","9945","R30-C01 tablas de mortalidad","reservas","2026-03-27","passed","2026-03-27","R30 Tablas de mortalidad","features\reservas\tablas_de_mortalidad.feature.spec.js","",""
"","0","R65-C01 creacion de un siniestro","siniestros","2026-03-27","skipped","2026-03-27","Gestion de siniestros","features\siniestros\pagos_de_siniestros.feature.spec.js","",""
"","85551","R03-C02 creacion manual de cotizacion desde archivo","cotizacion","2026-03-27","passed","2026-03-27","R03 Creacion manual de cotizacion","features\cotizacion\crear_cotizacion_manual_desde_archivo.feature.spec.js","",""
"","14343","R79-C01 visualizacion de opciones esperadas al iniciar registro de novedad","gestion","2026-03-27","failed","2026-03-27","R79 Reversion de polizas","features\gestion\reversar_polizas.feature.spec.js","",""
"","10055","R32-C01 listar parametro nota tecnica","reservas","2026-03-27","passed","2026-03-27","R32 Notas Tecnicas","features\reservas\notas_tecnicas.feature.spec.js","",""
"","8925","R30-C04 eliminar vigencias de los parametros","reservas","2026-03-27","passed","2026-03-27","R30 Tablas de mortalidad","features\reservas\tablas_de_mortalidad.feature.spec.js","",""
"","9155","R30-C03 verificar archivos cargados","reservas","2026-03-27","passed","2026-03-27","R30 Tablas de mortalidad","features\reservas\tablas_de_mortalidad.feature.spec.js","",""
"","13779","R05-C02 carga masiva de contratacion y consulta de resultados","contratacion","2026-03-27","passed","2026-03-27","R05 Carga masiva de contratacion","features\cotizacion\crear_contratacion_masiva.feature.spec.js","",""
"","36033","R02-C01 cargar archivo de calculos","calculos","2026-03-27","passed","2026-03-27","Cargar archivo de calculos","features\cotizacion\cargar_archivo_calculos.feature.spec.js","",""
"","10374","R32-C03 verificar archivos cargados de nota tecnica","reservas","2026-03-27","passed","2026-03-27","R32 Notas Tecnicas","features\reservas\notas_tecnicas.feature.spec.js","",""
