"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15809","Creacion de un siniestro","","Sun Nov 23 01:39:22 UTC 2025","passed","Sun Nov 23 01:39:38 UTC 2025","","","",""
"","21659","Carga exitosa del archivo masivo y descarga de resultados","","Sun Nov 23 01:32:37 UTC 2025","broken","Sun Nov 23 01:32:59 UTC 2025","","","",""
"","257436","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","Sun Nov 23 01:33:29 UTC 2025","passed","Sun Nov 23 01:37:46 UTC 2025","","","",""
"","96022","R30 C25-C29 Eliminar las vigencias de los parametros","","Sun Nov 23 01:37:46 UTC 2025","passed","Sun Nov 23 01:39:22 UTC 2025","","","",""
"","13403","R03- C01 creacion manual de cotizacion","","Sun Nov 23 01:32:24 UTC 2025","passed","Sun Nov 23 01:32:37 UTC 2025","","","",""
"","13830","R01 C02 creacion manual de cotizacion","","Sun Nov 23 01:32:10 UTC 2025","passed","Sun Nov 23 01:32:24 UTC 2025","","","",""
"","28165","R01- C01 Carga exitosa del archivo masivo y descarga de resultados","","Sun Nov 23 01:31:42 UTC 2025","broken","Sun Nov 23 01:32:10 UTC 2025","","","",""
"","25816","Comparacion de resultados de cotización masiva con archivo de referencia","","Sun Nov 23 01:39:38 UTC 2025","passed","Sun Nov 23 01:40:04 UTC 2025","","","",""
"","30079","R30 C01,C42 Listado de parametros de producto de renta vitalicia, reserva matematica","","Sun Nov 23 01:32:59 UTC 2025","passed","Sun Nov 23 01:33:29 UTC 2025","","","",""
