"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30886","Carga exitosa del archivo masivo y descarga de resultados","","Thu Nov 27 06:13:59 UTC 2025","broken","Thu Nov 27 06:14:30 UTC 2025","","","",""
"","34107","R01 C02 creacion manual de cotizacion","","Thu Nov 27 06:12:47 UTC 2025","passed","Thu Nov 27 06:13:21 UTC 2025","","","",""
"","31037","Comparacion de resultados de cotización masiva con archivo de referencia","","Thu Nov 27 06:21:53 UTC 2025","broken","Thu Nov 27 06:22:24 UTC 2025","","","",""
"","315507","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","Thu Nov 27 06:14:52 UTC 2025","passed","Thu Nov 27 06:20:08 UTC 2025","","","",""
"","37616","R03- C01 creacion manual de cotizacion","","Thu Nov 27 06:13:21 UTC 2025","passed","Thu Nov 27 06:13:59 UTC 2025","","","",""
"","95867","R30 C25-C29 Eliminar las vigencias de los parametros","","Thu Nov 27 06:20:08 UTC 2025","passed","Thu Nov 27 06:21:43 UTC 2025","","","",""
"","9614","Creacion de un siniestro","","Thu Nov 27 06:21:43 UTC 2025","passed","Thu Nov 27 06:21:53 UTC 2025","","","",""
"","22344","R30 C01,C42 Listado de parametros de producto de renta vitalicia, reserva matematica","","Thu Nov 27 06:14:30 UTC 2025","passed","Thu Nov 27 06:14:52 UTC 2025","","","",""
"","38076","R01- C01 Carga exitosa del archivo masivo y descarga de resultados","","Thu Nov 27 06:12:09 UTC 2025","broken","Thu Nov 27 06:12:47 UTC 2025","","","",""
